restaurant,url,category,distance,star,num_reviews
Somerset View,https://www.doordash.com/store/821971/?pickup=false,"$$ • Noodles, Pho",1.1 mi • Closed,4.4,NA
Il Vicolo,https://www.doordash.com/store/298616/?pickup=false,"$$ • Italian, Pizza",0.6 mi • Closed,4.5,(10)
Rangoon Restaurant,https://www.doordash.com/store/567582/?pickup=false,"$$ • Vegetarian Friendly, Pork",0.8 mi • Closed,3.3,NA
Hushh Burgers,https://www.doordash.com/store/1592464/?pickup=false,"$$ • Burgers, Breakfast",0.8 mi • Closed,4.5,(10)
Asian Gourmet Wok & Grill,https://www.doordash.com/store/1354275/?pickup=false,"$ • Vegetarian Friendly, Vegetarian",700 ft • Closed,NA,NA
Shakey's,https://www.doordash.com/store/1207555/?pickup=false,"$$ • Deli, Sandwiches",700 ft • Closed,NA,NA
Shuyi Tealicious,https://www.doordash.com/store/22949021/?pickup=false,"$$ • Fruit Tea, Milk Tea",0.5 mi • Closed,5,NA
Zesty Market,https://www.doordash.com/convenience/store/1346361/?pickup=false,"$$ • Grocery, Medicine",0.6 mi • Closed,4,(43)
Royal Prince Restaurant,https://www.doordash.com/store/491864/?pickup=false,"$$ • Family Meals, Jamaican",1.9 mi • Closed,4,(58)
Manhattan's Burgers,https://www.doordash.com/store/23048581/?pickup=false,"$$ • Sandwiches, Hot Dogs",0.2 mi • Closed,NA,NA
